,0
442,-1.28125
443,-1.4375
444,-1.34375
445,-1.171875
446,-1.21875
447,-1.59375
448,-1.515625
449,-1.421875
450,-1.015625
451,-1.21875
452,-1.234375
453,-1.03125
454,-1.28125
455,-1.25
456,-0.953125
457,-1.3125
458,-1.125
459,-1.375
460,-1.1875
461,-1.21875
462,-1.34375
463,-1.421875
464,-1.359375
465,-1.3125
466,-1.34375
467,-1.484375
468,-1.421875
469,-1.40625
470,-1.578125
471,-1.34375
472,-1.078125
473,-1.359375
474,-1.21875
475,-1.140625
476,-1.25
477,-1.296875
478,-1.125
479,-0.96875
480,-1.09375
481,-1.015625
482,-1.15625
483,-1.078125
484,-0.9375
485,-1.1875
486,-1.09375
487,-1.015625
488,-1.1875
489,-1.03125
490,-1.1875
491,-0.890625
492,-1.0
493,-1.25
494,-1.0
495,-0.96875
496,-0.96875
497,-0.9375
498,-0.984375
499,-0.953125
500,-1.109375
501,-0.921875
502,-0.96875
503,-0.984375
504,-1.078125
505,-0.96875
506,-1.125
507,-0.96875
508,-0.921875
509,-1.046875
510,-1.25
511,-0.9375
512,-1.046875
513,-1.3125
514,-1.078125
515,-0.921875
516,-1.09375
517,-0.984375
518,-0.84375
519,-0.96875
520,-0.859375
521,-0.796875
522,-0.84375
523,-1.28125
524,-1.015625
525,-1.03125
526,-1.03125
527,-1.296875
528,-1.0625
529,-0.984375
530,-0.96875
531,-0.875
532,-0.90625
533,-1.125
534,-1.046875
535,-1.09375
536,-1.0
537,-1.15625
538,-1.21875
539,-0.9375
540,-1.0625
541,-0.9375
542,-0.90625
543,-1.078125
544,-1.0625
545,-0.75
546,-1.203125
547,-1.125
548,-1.125
549,-0.984375
550,-1.171875
551,-0.890625
552,-1.203125
553,-1.28125
554,-1.234375
555,-0.828125
556,-1.015625
557,-1.0
558,-0.984375
559,-0.953125
560,-1.09375
561,-1.125
562,-1.109375
563,-1.234375
564,-1.078125
565,-0.859375
566,-0.859375
567,-0.953125
568,-1.078125
569,-0.8125
570,-0.75
571,-1.078125
572,-0.921875
573,-0.984375
574,-0.953125
575,-0.828125
576,-0.859375
577,-0.96875
578,-0.890625
579,-0.921875
580,-0.796875
581,-1.078125
582,-0.859375
583,-1.203125
584,-1.0625
585,-0.921875
586,-0.90625
587,-1.109375
588,-0.90625
589,-0.890625
590,-0.78125
591,-0.65625
592,-0.609375
593,-0.703125
594,-0.8125
595,-0.65625
596,-0.640625
597,-0.953125
598,-0.8125
599,-0.75
600,-0.859375
601,-1.03125
602,-0.734375
603,-0.984375
604,-0.984375
605,-1.078125
606,-0.890625
607,-0.96875
608,-0.90625
609,-0.953125
610,-0.609375
611,-0.71875
612,-0.890625
613,-0.78125
614,-0.734375
615,-0.65625
616,-0.5625
617,-0.84375
618,-0.8125
619,-0.65625
620,-0.6875
621,-0.578125
622,-0.828125
623,-0.828125
624,-0.78125
625,-0.78125
626,-0.921875
627,-0.9375
628,-0.875
629,-0.671875
630,-0.578125
631,-0.9375
632,-0.78125
633,-0.640625
634,-0.9375
635,-0.59375
636,-0.765625
637,-0.65625
638,-0.734375
639,-0.59375
640,-0.71875
641,-0.59375
642,-0.734375
643,-0.71875
644,-0.65625
645,-0.65625
646,-0.734375
647,-0.796875
648,-0.78125
649,-0.5625
650,-0.359375
651,-0.578125
652,-0.75
653,-0.90625
654,-0.75
